Unnamed: 0,Title,Platform,Userscore,Comment,Username
205785,Saints Row: The Third,PC,10,better than gta v this game is still the funnest open world game ive played the only games that compare to it are Garrys mod and minecraft i think gmod and minecraft are better but this is better than every gta game ever and saints row 4 is evan better than this game,BLAZETHEMCKIDD
261067,Saints Row,Xbox360,10,better than every saints row game this is the most fun and insanly entertaining criminal activity open world game ive ever played its my number 3 best game of all time,BLAZETHEMCKIDD
84057,INSIDE,PlayStation4,8,"An excellent atmospheric, twisted, clever, affecting, piquant, surprising, vicious and fascinating game. As much fun in a group (passing the controller on when you die) as it is playing alone in the dark, it definitely needs to be played to the end. There's not much of it but it's as long as it needs to be.",Genjira
95360,Monster Hunter: World,PlayStation4,2,"This game is the perfect example of why professional reviewers, in hock to big games publishers, and legions of franchise devotees often can't be trusted. I like grind, I like difficulty and I like backtracking. I'm not in a rush to get trophies or finish a story. But I dislike seeing my character disappear inside dead monsters or plants, difficulty being increased not by challenging foesThis game is the perfect example of why professional reviewers, in hock to big games publishers, and legions of franchise devotees often can't be trusted. I like grind, I like difficulty and I like backtracking. I'm not in a rush to get trophies or finish a story. But I dislike seeing my character disappear inside dead monsters or plants, difficulty being increased not by challenging foes or scenarios but by a silly control layout, and mindless repetition and button-mashing. Monster Hunter World is a decent £10 PS2 game. Your best bet is to refrain from getting it until it's a PS+ monthly. You're missing out on nothing by waiting.",Genjira
119051,Horizon Zero Dawn,PlayStation4,9,"My opinion of Horizon Zero Dawn is that it’s the PS4’s benchmark game. I’m not sure it actually does much new but everything it does, it does to such a high standard that I’d be hard-pushed to name a game that betters it. My only reservation is that, even on its Ultra Hard setting, its a story-driven game that doesn’t offer much of a challenge, except for the insane Frozen Wilds trainingMy opinion of Horizon Zero Dawn is that it’s the PS4’s benchmark game. I’m not sure it actually does much new but everything it does, it does to such a high standard that I’d be hard-pushed to name a game that betters it. My only reservation is that, even on its Ultra Hard setting, its a story-driven game that doesn’t offer much of a challenge, except for the insane Frozen Wilds training ground. It makes up for this with such gratifying combat and stealth mechanics that I spent days ignoring quests and just hunting Stormbirds and Thunderjaws instead. It is one of the most enjoyable games to be simply playing.Horizon Zero Dawn's main story may echo familiar sci-fi setups but it twists and rejuvenates them in original and fascinating ways – when game publisher CEOs talk about transporting you to new worlds, they’re talking about games like Horizon Zero Dawn. The environments Aloy traverses are spectacularly designed and rendered and, again, echo places and include monuments we know but in enormously emphatic and poignant ways. The machines are exceptionally well-designed in relation to their roles in Project Zero Dawn and obviously take deliberate inspiration from our own world. In praising the work of Hannah Hoekstra and Ashly Burch in their excellent portrayal of Aloy, it’s easy to overlook the many other characters and performances that bring HZD’s world to life while the soundtrack leaves a lasting impression with Julie Elven’s haunting vocals soaring above it. The game’s side quests are compact stories in themselves, never repetitive or dull, and sit comfortably and meaningfully in the world. The game is a joy to play.Sumptuosity. 9/10.",Genjira
128826,NieR: Automata,PlayStation4,9,"I doubt anything I can say about this actual masterpiece hasn't already been said. It doesn't offer clinical perfection but it's not far off. Playing as 2B, I found 9S's close attendance annoying and, at times, he interfered with gameplay (e.g. when trying to stand on top of a column). I felt the characters could have done with some transitional animation between walking and running but,I doubt anything I can say about this actual masterpiece hasn't already been said. It doesn't offer clinical perfection but it's not far off. Playing as 2B, I found 9S's close attendance annoying and, at times, he interfered with gameplay (e.g. when trying to stand on top of a column). I felt the characters could have done with some transitional animation between walking and running but, since you spend most of your time dashing and sprinting, that's a fairly minor niggle. I also found the middle section a tad choresome sometimes, but it doesn't drag on and there's some great new gameplay involved. That's all I can think of to deny Nier: Automata 10/10. It's a truly great game: the story is magnificent, the combat is varied and tons of fun in and of itself, the visual presentation and soundtrack are equally beautiful, the upgrade paths are complex and satisfying... it all amounts to a deeply rich and rewarding experience and one I look forward to repeating on the Xbox, after the passage of time.Gorgeousness. 9/10.",Genjira
182208,XCOM: Enemy Within,PC,10,"While it doesn't reinvent the wheel here, it adds some interesting new variety to an already superb tactical strategy game. If you enjoyed Enemy Unknown, do yourself a favor and expand the experience further!",poisonedyouth
183669,Path of Exile,PC,10,Has everything Diablo 3 wishes it had. And its free. What are you waiting for? Save your money on other uncertain purchases and download this immediately. It will keep you entertained for ages.,poisonedyouth
50957,Persona 4 Golden,PlayStationVita,10,"Persona 4 Golden is a wonderfully made game that is an actual improvement on the PS2 version.  Its the extra details that really win one over such as the new levels, and cut scenes.  Worth a second play through at least.",Halosoulfire
152896,Pokemon X,3DS,5,"This game is alright, it was average in its play, collection, and storyline.  However its downfall is the repetitiveness of trying to ""catch them all"".  Not really disappointing but at the same time was exactly what was expected.",Halosoulfire
124778,Call of Duty: Modern Warfare 3,Xbox360,9,"Interesting that everyone is so quick to bash the graphics and the linear design of this game when all shooters are like this. I didn't see any drastic increase in graphics from World at War to Black Ops, but nobody seems to be hung up on that. Modern Warfare 3 is an excellent new edition of the Modern Warfare series with new environments and an interesting storyline, however predictableInteresting that everyone is so quick to bash the graphics and the linear design of this game when all shooters are like this. I didn't see any drastic increase in graphics from World at War to Black Ops, but nobody seems to be hung up on that. Modern Warfare 3 is an excellent new edition of the Modern Warfare series with new environments and an interesting storyline, however predictable at times. I will admit that I was a little disappointed that there seems to be less sniper missions than ever before (those were always my favorite) but that aside, the game is awesome. Special Ops missions are really fun,  and survival mode is pretty cool too, though I haven't fully sampled all the different levels. In short, if you don't like this game, chances are you don't like shooters in general. There is nothing unlikeable about this game, and the complaint that there are no new mechanics to the game-play only attests to how polished the first Modern Warfare was when it came out. I'd like to point out that Black Ops actually took a lot of the same mechanics that Modern Warfare used, so it's not really fair to bash Modern Warfare 3 for using the same mechanics that it used in Modern Warfare seeing as how the mechanics were (and in my opinion, still are) so advanced when they were first introduced. I do wish they incorporated the running dive that Black Ops had though.",CaptainSalty
159451,Call of Duty: Black Ops,Xbox360,5,"Not the biggest fan of this game. I basically bought it for the Zombie mode in it, which is off the chain in my opinion. I enjoyed how the multiplayer was designed to encourage continued play and leveling up by having so many minor achievements that could earn you points as you played, but overall the multiplayer lobby system was such a failure that it is almost unplayable for me.Not the biggest fan of this game. I basically bought it for the Zombie mode in it, which is off the chain in my opinion. I enjoyed how the multiplayer was designed to encourage continued play and leveling up by having so many minor achievements that could earn you points as you played, but overall the multiplayer lobby system was such a failure that it is almost unplayable for me. Constantly getting kicked out of lobbies because the host could not be migrated is simply inexcusable. Same thing in the zombie mode multiplayer lobby, which is an even bigger problem, since sometimes you'll find the good fortune to find everyone else having a mic in your lobby, then you get kicked out and have to wade through all the other mic-less goofballs out there who seem to think that they can be Rambo and survive without communication with the rest of the group. Single Player campaign had a lot of ""explosive"" moments that fell short of any emotion or awe-inspiring feelings to me. I actually struggled to finish single player mode, and not because it was too difficult; it was too BORING!! I might be alone in this feeling, as most of my friends disagree with me on this, but there you have it. I recommend buying this game only if you are ready to shell out the extra 30+ dollars to download and play the zombie maps, which are very very fun to me, although I feel raped after looking back and seeing how much I payed for them all... Well, not really, but it's still a complete rip off, despite the fun that can be had from playing them. This game gets a 5 from me ONLY because of the zombie mode. Not worth the full retail price for the game; I wish I had waited until it cost less, about 30-40 dollars less to be more exact.",CaptainSalty
24513,The Last of Us,PlayStation3,10,The LAST OF US is the kind of game that we barely have in our generation thanks god there is such a developer like naughty dogs they deliver us a spectacular masterpiece this one of my favorite game of all time and remain the best of 7th generation can't wait for part 2,omer123
73625,Dishonored,PC,8,I didnt play the second game but i played this one and its realy fasenating its very great and had alot of realy challenging gamplay a deep story the issue that doesn't had a realy great moment in the mission u just start for every mission until the end but the best thing in dishonerd is the stealth gameplay its exellent there's alot of badass gadgets and upgrade u can find rune in secretI didnt play the second game but i played this one and its realy fasenating its very great and had alot of realy challenging gamplay a deep story the issue that doesn't had a realy great moment in the mission u just start for every mission until the end but the best thing in dishonerd is the stealth gameplay its exellent there's alot of badass gadgets and upgrade u can find rune in secret rooms to unlock new powers the combat is sow satesfying the middle act in the story is little bit borring and the side mission are borring but the other mission are exellent,omer123
79871,Batman: Arkham Asylum,PC,9,if u are a batman fan and never played then u missed one of the best story telling in a batman game yet,omer123
82513,Batman: Arkham City,PC,10,if you a big fan of batman u should already play this game this is the best game of 2011 for me it had some bad ass cutsceans spectacular voice acting and any great collectebales and one of my favorite villan from mark haml joker he is very awsome villanu can say the good in this game is thegadgets u can used for stealth passing mission a lot of stuffs my favorite boss fight in these gameif you a big fan of batman u should already play this game this is the best game of 2011 for me it had some bad ass cutsceans spectacular voice acting and any great collectebales and one of my favorite villan from mark haml joker he is very awsome villanu can say the good in this game is thegadgets u can used for stealth passing mission a lot of stuffs my favorite boss fight in these game is rash al ghul he is **** awsome the game had an awsome soundtrack all the bosses are awsome in this game it deserve a 10/10 it is masterpiece i will murder who talk a **** thing in these game i finished it 9 times,omer123
