Unnamed: 0,Userscore,Username,Game_ID
39153,10,sti4thewin,84
177986,9,sti4thewin,1217
8791,10,L.S.,15
65251,10,L.S.,195
2037,3,JamesD.,4
11624,10,JamesD.,20
14440,10,JamesD.,24
20755,10,JamesD.,42
21201,10,JamesD.,43
22797,9,JamesD.,48
37132,7,JamesD.,79
39944,9,JamesD.,85
41173,9,JamesD.,87
42347,9,JamesD.,98
42850,10,JamesD.,99
51679,10,JamesD.,136
63770,10,JamesD.,181
64357,10,JamesD.,192
64687,10,JamesD.,195
77814,10,JamesD.,287
86237,10,JamesD.,350
114560,9,JamesD.,599
127342,9,JamesD.,694
152148,10,JamesD.,872
161801,8,JamesD.,1003
170466,0,JamesD.,1132
174949,9,JamesD.,1195
197662,7,JamesD.,1525
205452,10,JamesD.,1654
237348,0,JamesD.,2261
246040,1,JamesD.,2523
257645,10,JamesD.,2818
269645,6,JamesD.,3077
101233,6,Garland,475
149339,8,Garland,849
194841,9,Garland,1474
196007,4,Garland,1488
143753,0,triggerfinger,811
190485,10,triggerfinger,1409
70584,9,TheWormAndOnly,225
257036,1,TheWormAndOnly,2805
39827,6,andrebitencourt,85
100578,9,andrebitencourt,470
155833,9,ClamBuster,922
223539,10,ClamBuster,1966
170283,0,RealQi,1130
243880,10,RealQi,2453
273719,10,RealQi,3147
84482,10,DiceDizzle,336
195520,10,DiceDizzle,1479
57670,0,QuiterRaga,155
80954,9,QuiterRaga,315
108717,10,QuiterRaga,549
114687,9,QuiterRaga,605
116097,7,QuiterRaga,607
141481,4,QuiterRaga,803
224205,9,QuiterRaga,1984
38876,8,Amaraen,84
87723,6,Amaraen,365
204711,9,Amaraen,1641
74970,3,drunken_Corso,263
199261,4,drunken_Corso,1537
236455,9,Shahadot,2243
274087,9,Shahadot,3149
56582,10,redrevolver,153
107955,10,redrevolver,536
4942,9,Neoimperialist,9
5642,9,Neoimperialist,9
52638,5,Neoimperialist,141
140373,0,Neoimperialist,803
211148,8,Neoimperialist,1747
217475,4,Neoimperialist,1881
281289,8,Neoimperialist,3357
63500,10,dfile001,179
164317,10,dfile001,1043
165646,9,dfile001,1064
2513,8,Akapzi,4
5816,9,Akapzi,9
194940,0,Spanked_Ur_Mom,1474
276126,0,Spanked_Ur_Mom,3206
9972,8,Yuri_Wii,17
232315,8,Yuri_Wii,2161
212365,3,akhu937,1761
226673,9,akhu937,2047
68585,9,iipotato,209
69746,7,iipotato,216
131579,10,iipotato,742
152966,8,iipotato,883
157714,8,iipotato,940
159656,9,iipotato,964
189241,8,iipotato,1402
243632,9,iipotato,2433
266160,9,iipotato,3000
272431,8,iipotato,3115
277501,9,iipotato,3250
62689,10,ShadowXyo,179
151587,10,ShadowXyo,865
105004,9,Alexlee,515
128124,10,Alexlee,703
138344,7,juliiouse,800
170294,5,juliiouse,1130
220917,4,juliiouse,1934
12546,9,Mithil,20
19642,8,Mithil,38
27782,7,Mithil,56
90527,9,Mithil,390
92068,9,Mithil,415
155253,7,Mithil,919
117463,10,miked,621
230679,10,miked,2122
150950,9,Cloudlv9,862
173128,9,Cloudlv9,1163
28178,10,Nazar228,56
79888,9,Nazar228,310
82522,10,Nazar228,324
90653,9,Nazar228,390
98834,6,Nazar228,454
146896,10,Nazar228,830
181343,6,Nazar228,1270
184985,9,Nazar228,1329
185706,8,Nazar228,1346
193080,8,Nazar228,1449
218936,9,Nazar228,1901
272814,5,Nazar228,3118
88298,10,AmandaF.,367
165276,10,AmandaF.,1063
79637,8,Datapotomus,310
153539,8,Datapotomus,895
271946,4,Datapotomus,3103
68609,10,skywreckdemon,209
103492,10,skywreckdemon,499
158037,9,skywreckdemon,944
192702,9,skywreckdemon,1447
75867,7,FakeRobotGamer,268
216412,1,FakeRobotGamer,1849
59939,6,mschri,166
120476,9,mschri,643
191442,10,gilgatex,1423
232685,9,gilgatex,2169
21985,9,JoshuaW,46
166471,10,JoshuaW,1066
4721,10,ulaek123,9
5421,10,ulaek123,9
131360,8,thegamerbro,741
206953,9,thegamerbro,1680
225223,10,thegamerbro,2015
55260,10,Raider98,144
94211,10,Raider98,444
199456,9,Raider98,1538
13847,10,jamie,23
15966,10,jamie,27
28358,10,jamie,57
127965,10,jamie,702
219600,5,jamie,1917
255029,10,jamie,2753
12030,10,AlexK.,20
15588,10,AlexK.,26
21091,10,AlexK.,42
40249,10,AlexK.,85
60500,10,AlexK.,168
81180,10,AlexK.,317
91839,10,AlexK.,415
100908,0,AlexK.,474
125621,9,AlexK.,674
136808,3,AlexK.,796
146580,10,AlexK.,830
154735,3,AlexK.,911
200021,10,AlexK.,1549
215151,3,AlexK.,1825
223783,9,AlexK.,1979
227956,10,AlexK.,2078
231016,8,AlexK.,2134
250742,9,AlexK.,2637
265525,8,AlexK.,2991
269028,4,AlexK.,3068
263054,10,EffigyX,2924
272588,6,EffigyX,3117
101265,9,bonaros75,475
102277,10,bonaros75,476
235775,10,bonaros75,2227
21620,6,KritikalGamer,44
60335,8,KritikalGamer,168
86491,9,KritikalGamer,351
275802,9,KritikalGamer,3201
9820,10,shadowloo,17
31754,10,shadowloo,69
